japanese_name,chinese_name
ノア,诺亚
ノイシュ,诺伊修
ノイシュ（幼少期）,小诺伊修
ノヅチ,野槌
ノトス,诺托斯
ノルセル,诺卢塞露
ノワール,诺瓦尔
ノン＆ウイ,侬＆维
ハイゼンベルク,海赞贝克
ハイネ,海涅
ハイラ,哈伊拉
ハイラック,海拉克
ハインリッヒ,海因里希
ハウヘト,哈乌赫特
ハクタク,白泽
ハスカル,哈斯卡尔
ハデス,哈迪斯
ハリエ,哈利耶
ハル,哈尔
ハレゼナ,哈蕾泽娜
ハロルド,哈罗路德
ハンサ,汉萨
ハンナ,汉娜
ハーゲン,哈肯
ハーゼリーラ,哈泽丽拉
ハールート・マールート,哈鲁特&马鲁特
バアル,巴尔
バイシュラ,拜修拉
バイヴカハ,战争三女神
バウタオーダ,巴塔殴达
バクラ,巴库拉
バサラ,巴萨拉
バサラ（幼少期）,小巴萨拉
バザラガ,巴萨拉卡
バステト,芭丝特
バズヴ,芭波
バドラ,巴多拉
バハムート,巴哈姆特
バミューダトライアングル,百慕大三角
バラゴナ,巴拉格纳
バルガ,巴鲁加
バルサザー,巴尔萨泽
バルディール,巴蒂尔
バルトロッソ,巴特洛索
バルドル,巴德尔
バルルガン,巴鲁鲁干
バレンティン,瓦伦汀
バロワ,巴洛瓦
バロール,巴洛尔
バン,班
パイ,白
パティア,帕缇亚
パメラ,帕梅拉
パラケルスス,帕拉采尔苏斯
パラシュラーマ,持斧罗摩
パリス,帕里斯
パルティータ,帕尔缇塔
パレタ,帕雷塔
パンプキンアークナイト,南瓜骑士王
パヴィーダ,帕维多斯
パーシヴァル,帕西瓦尔
パーシヴァル（幼少期）,小帕西瓦尔
ヒゲカメ（バハノオトシゴ）,长须龟（巴海马特）
ヒトガタ,人形
ヒトデナシ,非人
ヒミラ,希米拉
ビィ,碧
ビィ（ぐらぶるっ！）,四格碧
ビカラ,碧卡拉
ビューレイスト,贝莱斯特
ピィジウ,啤酒
ピコ,皮可
ピズマ,皮兹马
ピトゥーカ,皮图卡
ピンカラのお蝶,一掷千金的阿蝶
ファシャル仙人,法夏尔仙人
ファスティバ,法斯蒂瓦
ファナ,法娜
ファフニール,法夫纳
ファラ,法拉
ファリス,法利斯
ファルシュ,法尔修
ファルハナ,法尔哈娜
ファンジオ,范基欧
フアン,黄
フィオリト,菲奥莉托
フィラ,菲拉
フィラソピラ,菲拉索皮拉
フィルキス,菲尔基丝
フィルレイン,菲琳
フィーナ,菲娜
フェアリープリンセス,妖精公主
フェイノ,费伊诺
フェザー,菲泽
フェディエル（人型ver）,菲迪埃尔（人型ver）
フェディエル（竜形態Ver）,菲迪埃尔（龙型ver）
フェニックス,菲尼克斯
フェニー,菲妮
フェリ,菲莉
フェリ（幼少期）,小菲莉
フェルッチオ,费尔齐奥
フェルディア,弗迪亚
フェルディナンド,费迪南
フェルト,菲尔特
フェルドラク,费尔德拉克
フェルルカ,菲露露卡
フェンリル,芬里尔
フェール,菲尔
フォス,法斯
フォリア,芙莉亚
フォルテ,法尔提
フュリアス,菲利亚斯
フュンフ,芬芙
フライデー,星期五小姐
フラウ,芙劳
フラム＝グラス,双生元素
フラン,芙兰
フリーシア,芙莉西亚
フレイ,弗雷
フレッセル,弗雷赛尔
フロック,弗洛克
フロレンス,芙罗伦斯
ブラックラビット,黑兔子
ブランウェン,布朗温
ブリジール,布里吉尔
ブルース,布鲁斯
ブローディア,布洛蒂亚
プレデター,布列迪塔
プロトバハムート,原初巴哈姆特
プロトポロス,普罗特波洛斯
プロメティア,普罗梅提亚
プロメテウス,普罗米修斯
ヘイゼン,黑泽
ヘイムダル,海姆达尔
ヘカテー,赫卡忒
ヘカトンケイル,赫卡同克瑞斯
ヘクトル,赫克托尔
ヘリヤ,赫丽雅
ヘルエス,赫尔艾斯
ヘルエス（幼少期）,小赫尔艾斯
ヘルツェロイデ,海瑟萝伊德
ヘルナル,赫尔纳
ヘレル・ベン・サハル,赫莱尔·本·沙哈尔
ヘレル・ベン・シャレム,赫莱尔·本·夏蕾姆
ヘンリー,亨利
ベアトリクス,贝阿朵丽丝
ベアトリクス（幼少期）,小贝阿朵丽丝
ベス,贝丝
ベラドンナ,花妖
ベリアル,贝利尔
ベルシラック,贝尔希拉克
ベルゼバブ,别西卜
ベルソー,贝尔索
ベルメルヴォルク,贝尔梅尔沃克
ベルン,贝伦
ベンヌ,贝努
ベンヴォーリオ,斑伏里奥
ペトラ,佩特拉
ペルセウス,珀尔修斯
ペンギー,企小鹅
ホシワリ,荷西瓦里
ホリン,霍林
ホルス,荷鲁斯
ホワイトラビット,白兔子
ボスコ,博斯克
ボニー,波妮
ボレミア,波蕾米亚
ボーマン,波曼
ポセイドン,波塞冬
ポポル,珀珀鲁
ポラリス,珀拉莉丝
ポロ,皇帝珀罗
ポンメルン,伯梅伦
マイシェラ,米歇拉
マイム,麦姆
マウロ,毛洛
マキュラ・マリウス,玛裘拉·玛利乌斯
マキューシオ,茂丘西奥
マキラ,玛琪拉
マギ,贤士
マギサ,玛姬莎
マギサ（幼少期）,小玛姬莎
マギラフリラ,玛琪拉菲菈
マクネッサ,麦克奈萨
マグロウ,马古洛
マコラ,玛蔻拉
マッコイ,麦考伊
マッディー,马迪
マドル,马德尔
マドル（幼少期）,小马德尔
マナウィダン,玛纳维丹
マナマル,玛娜玛尔
マヒシャ,玛依莎
マプラ,马普拉
マミナス,玛米纳斯
マモーナス,玛门
マライア,玛丽亚
マリア・テレサ,玛利亚·特蕾莎
マリエ,玛丽艾
マリネラ,玛丽内拉
マリー,玛丽
マルガレータ,玛格丽特
マルキアレス,马尔基雷斯
マルスベル,马鲁斯贝尔
マルドゥーク,马尔杜克
マルドーラ,玛尔多拉
マンモス,猛犸
マーズ,玛尔斯
マーリン,梅林
ミアハ,米亚哈
ミアミント,米娅敏特
ミイム,米姆
ミカ,米卡
ミカエル,米迦勒
ミスラ,密斯拉
ミドガルズオルム,耶梦加得
ミニゴブ,迷你哥布
ミニゴブ（成長Ver）,迷你哥布（成长ver）
ミムルメモル,米姆露梅莫璐
ミュオン,缪恩
ミラオル,米拉奥尔
ミランダ,米兰达
ミリン,米琳
ミリー,米莉
ミレイユ,米蕾耶
ムゲン,无限
ムーアン,穆安
メア,梅娅
メイガス,梅嘉丝
メイム,梅姆
メイヴ,梅芙
メグ,梅格
メタトロン,梅塔特隆
メドゥーサ,美杜莎
メリッサベル,梅丽莎贝尔
メルゥ,梅路
メレアガンス,梅利甘斯
メーテラ,美黛拉
モニカ,莫妮卡
モリガン,茉莉安
モリモリ,莫里莫里
モリレン,摩理林
モルゴース,摩高斯
モルドレッド,莫德雷德
モルフェ,莫尔菲
モルフェとヴェトル,莫尔菲＆维特尔
モーガン,摩根
ヤイア,雅雅
ヤス,康
ヤチマ,雅琪玛
ユイシス,优希斯
ユエル,尤艾尔
ユグドラシル,尤格多拉希尔
ユグドラシル・マグナ,尤格多拉希尔·玛格纳
ユグドラシル・マリス,尤格多拉希尔·玛丽斯
ユグドラシル（キャラ）,尤格多拉希尔（角色）
ユズリハ,让叶
ユニ,尤妮
ユミル,尤弥尔
ユリウス,尤里乌斯
ユーサー,尤瑟
ユーステス,尤斯缇斯
ユーリ,尤利
ヨウ,容
ヨコヅナ,横纲
ヨゼフ王,约瑟夫王
ヨダルラーハ,尤达拉哈
ヨハン,约翰
ライアン,莱安
ライザリッド,莱扎利德
ライデン,雷电
ライラ,莱拉
ライログール,莱洛古尔
ラインハルザ,莱茵哈撒
ラインバッハ,莱茵巴哈
ラウディラビット,凶猛兔
ラオラオ,姥姥
ラカム,拉卡姆
ラガッツォ,拉加佐
ラクレイス,拉克雷斯
ラグナ,拉格娜
ラジエル,拉结尔
ラスティナ,拉丝缇娜
ラズウェル,拉兹维尔
ラック,拉克
ラドリア,拉德利亚
ラファエル,拉斐尔
ラフィット,拉菲特
ラムララ,拉姆拉拉
ラムレッダ,拉姆丽妲
ラモラック（幼少期）,小拉莫拉克
ラモラック（現在）,拉莫拉克
ラモラック（青年期）,中拉莫拉克
ラモン,拉蒙
ララとロロ,拉拉&洛洛
ラルナ,拉鲁娜
ランスロット,兰斯洛特
ランタナ,兰塔那
ランドル,兰德尔
ランファ,兰华
ラヴィリタ,拉维利塔
ラー,拉
ラーメン三騎士,拉面三骑士
ラーライラ,拉莱拉
リアラ,莉亚拉
リイン,莉茵
リオス,莉欧丝
リスリサル大司教,莉斯莉萨尔大主教
リゼット,莉赛特
リタ,莉塔
リチャード,理查德
リック,里克
リッチ（プレイアブルキャラクター）,莉琪
リッチ（召喚石）,巫妖
リナリア,莉娜莉亚
リュミエール聖王,卢米埃圣王
リリィ,莉莉
リリス,莉莉丝
リルル,莉露露
リヴァイアサン,利维坦
リヴァイアサン・マグナ,利维坦·玛格纳
リヴァイアサン・マリス,利维坦·玛丽斯
リーシャ,莉夏
ルウェイグ,卢威格
ルカーヴ,卢卡夫
ルシウス,卢修斯
ルシオ,路西欧
ルシファー,路西法
ルシフェル,路西菲尔
ルドミリア,路德米利亚
ルナール,露娜露
ルポポ,鲁珀珀
ルリア,露莉亚
ルロウホロウ,鲁洛赫萝
ル・オー（人型ver）,露·欧（人型ver）
ル・オー（竜形態Ver）,露·欧（龙型ver）
ルーソル,卢梭尔
ルーヴェラ,鲁维拉
レイ,零
レイシア,蕾西亚
レイベリィ,雷贝利
レオス,雷欧斯
レオナ,蕾欧娜
レオニス,雷欧尼斯
レオノーラ,雷欧诺拉
レオン,雷昂
レッドラック,红色幸运
レディ・グレイ,灰夫人
レナ,蕾娜
レニー,蕾妮
レプティ,雷弗提
レホス,雷荷斯
レムール・パフォーマー,灵幻艺匠
レリコ,蕾莉柯
レル・イスタルシア,雷尔·伊斯塔尔西亚
レンス,连斯
レンヴァーロ,连瓦洛
レヴィオン先王,雷维翁先王
レヴィオン新王,奥德里克
レヴィード,雷维德
レ・フィーエ,蕾·芬耶
ロウファ,罗法
ロウリー,罗利
ロキ,洛基
ロザミア,萝莎米娅
ロザリンド,罗瑟琳
ロジーヌ,罗丝涅
ロゼッタ,萝赛塔
ロット,洛特
ロティエルナ,萝缇埃尔娜
ロディ,罗蒂
ロベリア,洛贝利亚
ロベルティナ,罗贝缇娜
ロボミ,萝伯美
ロミオ,罗密欧
ローアイン,罗艾因
ローズクイーン,蔷薇女王
ローナン,罗南
ローラン,罗兰
ワクドキ,瓦库多琪
ワマムツ,火能虫
ワムデュス（人型ver）,瓦姆杜斯（人型ver）
ワムデュス（竜形態Ver）,瓦姆杜斯（龙型ver）
ワーヒドゥ,瓦希杜
ヰロティス,伊洛缇斯
ンナギ,电鳗
ンニ,海胆
ヴァイト,斑特
ヴァジラ,瓦姬拉
ヴァハ,玛赫
ヴァルナ,伐楼那
ヴァルフリート,瓦尔弗雷德
ヴァンツァ,万查
ヴァンピィ,斑比
ヴィクトル,维克多
ヴィターリー,毕塔利
ヴィーラ,维拉
ヴィーラ（幼少期）,小维拉
ヴェイン,维恩
ヴェセラゴ,韦谢拉戈
ヴェトル,维特尔
ヴェネラブル・グリントナイト,崇辉骑士
ヴェリトール,威利托尔
ヴェルサシア,维萨西娅
ヴェルサシア・ジェネシス,维萨西娅·创世
九尾,九尾
人魚王,人鱼王
先代の亥神,前代猪神将
四天王ウィストム,四天王威斯托姆
四天王ディジー,四天王迪基
四天王フィリー,四天王费利
四天王ムスケル,四天王姆斯科尔
国王カール,卡尔王
大将,大将
大御婆様,祖母大人
天晴亭楽呼,天晴亭乐呼
天晴亭楽笑,天晴亭乐笑
守畏禍,守畏禍
強欲のライゾウ,雷藏
星の神アストロリア,星之神阿斯特拉莉亚
極潰しのマッシュ,马修
機神ヴァーサタイル,机神巴萨特尔
水のエレメンタル,水元素
海洋学者,海洋学者
猫,猫
白騎士,白骑士
白騎士（シーザー）,白骑士（凯撒）
白骨大王,白骨大王
真王,真王
祭司,珀匹
竜吉公主,龙吉公主
筆冥,笔冥
紫の騎士,紫骑士
羅生門博士,罗生门博士
舎弟のリンタロウ,小弟伦太郎
若い頃のガイゼンボーガ,年轻的盖森伯格
若き日のイングヴェイ,年轻的英格威
観光協会前理事長,观光协会前理事长
赤毛の情報屋,法瓦罗
運営・その他キャラクター,运营·其他角色
閃光壊獣マーバ,坏兽
陽炎,阳炎
雷霆公,雷霆公
鬼ゾリのタイガ,鬼剃大河
魔鯛,魔鲷
鵺（コタロウ）,鵺（小太郎）
黄金の邪龍,黄金的邪龙
黄龍,黄龙
黒衣の男,黑衣男
黒騎士,黑骑士
黒麒麟,黑麒麟
Ｊ・Ｊ,J·J
