0-chapter_name,,第3話 最愛の女性,第三话 最爱的女人
19,,バロールの剣から滴る血……\nウォルフは即座に理解した。,巴洛尔的剑上滴着血……沃尔夫立刻明白了一切。
20,ウォルフ,お前が……お前がやったのか！\n<span class='scene-font-4'>バロール！　答えろ！！</span>,是你……是你干的吧！\n<span class='scene-font-4'>巴洛尔！ 回答我！！</span>
21,アガーテ,…………うっ……,…………呜……
22,ウォルフ,<span class='scene-font-4'>アガーテ！</span>\nよかった、まだ息が……,<span class='scene-font-4'>阿加特！</span>\n太好了，还有呼吸……
23,バロール,しぶとい奴だ。,真是顽强的家伙。
24,アガーテ,ウォル……フ……？,沃尔……夫……？
25,ウォルフ,ああ、俺だ！\nすぐに医者に連れていく！\nそれまで辛抱しろ！,是的，是我！\n我马上带你去看医生！\n坚持住！
26,アガーテ,ううん、いい……\nこの傷じゃ助からない……\nさすがにわかるよ……,不用了，没关系……\n这个伤救不回来了……\n这点我还是明白的……
27,ウォルフ,<span class='scene-font-4'>諦めるな！</span>\nお前が諦めたら……！,<span class='scene-font-4'>不要放弃！</span>\n如果你放弃了……！
28,アガーテ,ウォルフだって……\n手遅れなのは、わかるでしょ……？,沃尔夫你也……\n知道已经太迟了吧……？
29,ウォルフ,……クソッ！,……该死！
30,アガーテ,ねぇ、ウォルフ……\n最期に……\n聞いてほしいことが……,沃尔夫……\n在最后……\n我有件事想让你听……
31,アガーテ,あたしは、嘘をついてた……\n正体を隠してた……,我一直在撒谎……隐瞒了真实身份……
32,ウォルフ,正体……？,真实身份……？
33,アガーテ,あたしの本当の所属は……\n聖騎士団なんだ……,我的真正身份是……\n圣骑士团的成员……
34,ウォルフ,っ！？,什么！？
35,アガーテ,でも、普通の聖騎士団じゃない……\n聖王様から直接命を受けて……,但我不是普通的圣骑士团成员……\n我直接接受圣王的命令……
36,アガーテ,仕事は、聖騎士団員の内偵……\n聖騎士団を脱退した人達の\nその後の動向とかも、ね……,我的任务是调查圣骑士团成员的内部情况……\n还有那些退出圣骑士团的人的后续动向，等等……
37,ウォルフ,元聖騎士団の動向……\nまさか、お前が\nバロールの傭兵団に入ったのは……,前圣骑士团成员的动向……\n难道你加入巴洛尔的佣兵团是因为……
43,アガーテ,そう……\nあいつらの不穏な動きを察知して、\n実態を把握するために潜入した……,是的……\n察觉到他们有不轨行动，\n于是我潜入其中以掌握实情……
44,アガーテ,あいつらは、クーデターの\n疑惑があったから……\nあたしはずっと監視してた……,他们一直有发动政变的嫌疑……\n所以我一直在监视他们……
45,アガーテ,この国が好きだから……\n聖王様を尊敬しているから……\nあたしが守らないと、って……,因为我喜欢这个国家……\n因为我尊敬圣王……\n所以我觉得自己必须保护它……
46,アガーテ,でも、あいつはなかなか\n尻尾を出さなかった……\nだからあなたに近づいた……,可是，他一直没有露出马脚……\n所以我才接近了你……
47,アガーテ,あいつは、あなたに一番\n気を許してたから……,因为他对你是最没有防备的……
48,ウォルフ,……俺からバロールの情報を\n引き出そうと考えたんだな？,……你是打算从我这里\n套出巴洛尔的信息吧？
49,アガーテ,弱い自分を見せたり……\n料理を口実にしたり……\n色々演じてあなたに取り入った……,我展示出自己脆弱的一面……\n以做饭为借口……\n用各种方式接近你……
50,アガーテ,でも、途中から演技じゃなくなった……\nあなたの隣の居心地がよくて……,但后来，我不再只是演戏了……\n因为在你身边感觉很舒服……
51,アガーテ,最低だって理解してる……\nどう言い訳したって、\nあたしはあなたを利用した……,我知道自己很卑鄙……\n无论怎么辩解，\n我确实利用了你……
52,アガーテ,幻滅したよね……？,你一定对我感到失望了吧……？
53,ウォルフ,…………,…………
54,ウォルフ,そう思えたら、こんなに胸が痛むかよ。,如果真是那样，我心里会这么痛吗。
55,アガーテ,ウォルフ……,沃尔夫……
56,アガーテ,はは……\n不器用なのは変わらないね……\n出会った時から、ずっと……,哈哈……\n你还是一样笨拙呢……\n从我们第一次见面开始，就一直这样……
57,,痛みで歪んだアガーテの顔に、\nほんの一瞬だけ笑みが見えた。,阿加特因疼痛而扭曲的脸上，浮现出一瞬的微笑。
58,アガーテ,ああ、ごめん……\nもうウォルフの顔も……\n声も、音も……,啊，抱歉……\n我已经看不清沃尔夫的脸了……\n也听不到声音了……
59,ウォルフ,アガーテ！,阿加特！
60,アガーテ,そうだ……\nあの子に、プレゼント……,对了……\n那个孩子的礼物……
61,アガーテ,せめて……最期に……\n会いた……かっ……,至少……最后……\n想见他一面……
62,アガーテ,…………,…………
63,,ウォルフの胸に抱かれながら、\nアガーテは息を引き取った。,阿加特在沃尔夫的怀中停止了呼吸。
64,ウォルフ,アガーテ……,阿加特……
65,バロール,そいつがどれほど最低な女か、\nお前もわかっただろう？,你现在也看清她是多么卑鄙的女人了吧？
66,ウォルフ,バロール……貴様！！,巴洛尔……你这混蛋！！
67,バロール,孤高で殺意をむき出しにしたその目……\nオレは嬉しいぞ！\nやはりお前はそうでなくちゃな！,那孤傲而充满杀意的眼神……\n我很高兴！\n果然你就该是这样！
68,バロール,アガーテとの出会いで孤高さを失い、\nお前は弱くなった！\nそんなお前などオレの望む姿じゃない！,自从遇到阿加特后你失去了孤傲，\n变得软弱了！\n那样的你不是我想要的！
69,バロール,お前はオレの望むお前でいてくれ！,你就应该是我期望的那个你！
70,ウォルフ,言いたいことはそれだけか！,你就只想说这些吗！
73,バロール,いい顔だ、ウォルフ。\nお帰り、と言わせてくれ。,真是不错的表情，沃尔夫。\n让我说一句，欢迎回来。
74,バロール,オレはな、１度でいいから\n本気のお前と戦ってみたかった。\nまさかその願いが叶うとはな！,我啊，一直想只要有一次就好，\n想跟你全力一战。\n没想到这个愿望竟然实现了！
75,バロール,オレがお前に勝ったその時は、\nひとつだけ言うことを聞け！\nオレと共にこの国を変えよう！,我要是赢了你，你只需要答应我一件事！\n跟我一起改变这个国家！
76,バロール,オレとお前で、この国に\n力こそ正義だと示そうじゃないか！,我们两人一起，向这个国家展示\n力量才是正义！
77,ウォルフ,貴様のくだらない思想に興味はない！\n<span class='scene-font-4'>生きて帰れると思うな！！</span>,我对你那无聊的思想没兴趣！\n<span class='scene-font-4'>别指望能活着回去！！</span>
78,バロール,来い、ウォルフッ！\n本気で死合おうッ！！,来吧，沃尔夫！\n让我们真刀真枪地决一死战！！
info,,,scene_evt240829_cp3_q3_s20
译者,,,gpt-4o-latest
